Billtoentity,Sum of Invoiced Storage Price
user-zyxue,$0.26
user-zongjie,$2.34
user-zkhan,$0.26
user-zjzhang,$3.12
user-zhouyuwen,$2.60
user-zhilianh,$2.34
user-zhijuanqiu,$1.82
user-zhenwang,$0.26
user-zhengwen,$1.56
user-zeitouni,$0.26
user-zdeng1,$10.92
user-zchiang,$2.08
user-zbent,$0.78
user-zankla,$4.94
user-zajtat,$10.92
user-zackzwiesler,$1.82
user-zachary_chiang,$0.78
user-yumansw,$0.26
user-yujizhang,$10.92
user-yuhua,$4.68
user-yuchen.bai,$10.92
user-yu.min,$3.64
user-youyuxing188,$4.68
user-yosr,$7.28
user-ymen_sgh,$0.26
user-ymen_polaris,$0.26
user-ymen_demo,$0.99
user-ymen,$150.99
user-yk.nexus1,$4.68
user-yitaitang,$3.38
user-yingzhu,$1.61
user-yiko,$10.92
user-yhg926,$10.92
user-yhadid,$0.26
user-yeshalundberg4btnrh,$1.04
user-yedavalli,$10.92
user-ybzhao,$10.92
user-ybz90,$4.68
user-ybfanbo,$3.12
user-yangshubo,$0.26
user-yangjianghua,$2.08
user-yanch,$10.92
user-yadav_rahul,$3.15
user-xyliu,$10.92
user-xx.xiang,$2.86
user-xuxilin,$0.26
user-xtmgah,$10.92
user-xianglong,$10.92
user-wwencode,$11.96
user-wubin_bioinfo_2014,$0.52
user-wtulipa,$39.00
user-wpartlo,$0.78
user-workmam,$0.25
user-wengkhong,$6.24
user-wencey,$0.26
user-warrenac,$10.92
user-wangmx,$1.04
user-wangjl,$1.82
user-wanghailun,$10.92
user-wandlessgroup,$6.76
user-vs9arm,$0.26
user-voltimerito,$0.26
user-voltimer,$0.52
user-viveklabp53,$6.50
user-vivekbioinf,$1.56
user-vivek,$10.92
user-violicic,$23.92
user-vince_natera,$1.04
user-vince_intermountain,$23.79
user-vince_ghi,$12.22
user-vince,$105.30
user-vignesh,$0.26
user-vera,$10.92
user-venkat.boffin,$0.26
user-vdkumar56,$10.92
user-vasioukhin,$5.72
user-varsharao,$2.34
user-vadavid99,$10.92
user-ureyes,$0.52
user-ulintzpj,$0.78
user-tyn1990,$1.04
user-tyatsun,$1.04
user-tslinux,$1.30
user-toufik,$0.52
user-toroc,$10.92
user-torenre1,$11.70
user-tonywang0613,$1.82
user-tonnny97,$0.52
user-tom_ashton,$2.08
user-tom,$0.52
user-tnguyen_costanalysis,$41.08
user-tnguyen,$17.57
user-tmwong,$4.69
user-tllsb,$3.64
user-tlhfcg6m2ux7p66d9bce,$0.26
user-tkav,$2.08
user-tischwar,$1.56
user-timwyu,$0.26
user-tianl,$1.82
user-thiago,$2.60
user-thepapad,$2.19
user-thea123,$0.26
user-thaocad,$1.82
user-tgraves,$224.38
user-tcga,$0.52
user-tblau,$245.96
user-tanseylab,$7.54
user-tanja_maehr,$3.64
user-tamyers,$10.92
user-szeling79,$10.92
user-szarate,$10.92
user-syedarshi,$1.30
user-swernicke,$2.34
user-suregenomicsadmin,$45.50
user-surajrastogi_90,$0.25
user-suraj_1990,$0.98
user-super_genome,$10.92
user-sunyoung,$3.90
user-sunghooncho3,$0.78
user-sulh,$0.26
user-stubrown,$10.92
user-stuart,$4.94
user-stjudewang,$0.52
user-stevenwilder,$2.08
user-steve,$0.52
user-stespano,$1.82
user-steink,$10.92
user-stcordova,$10.92
user-sssg001,$0.26
user-sshhyy,$10.92
user-sschoelch,$0.26
user-sreedhari,$0.26
user-sre,$0.78
user-soumya_09,$0.26
user-sophie.candille,$10.92
user-sol_6793,$1.30
user-sockhoai,$0.52
user-snowru,$10.66
user-sms28_73,$3.68
user-smk_5g5,$1.56
user-sminot,$2.34
user-sma_training,$1.04
user-sma_tcga,"$11,547.94"
user-sma_takeda,$214.89
user-sma_support,$20.28
user-sma_nus,$214.50
user-sma_intermountain,$1.56
user-sma_genycell,$18.20
user-sma_demo,$152.54
user-sma_claritas,$25.74
user-sma_cheo,$0.26
user-sma_baylor,$17.16
user-sma,$399.64
user-sloftus,$10.92
user-skujawa,$107.90
user-sks,$53.30
user-sjinyoon,$1.30
user-sjinlee09,$0.52
user-sjin.lee09,$3.64
user-sjb343,$10.92
user-siyangliu,$15.08
user-siraragorn,$1.04
user-sigmarkarl,$52.78
user-sigmar,$244.33
user-shukwong,$10.92
user-shobha,$2.34
user-shaytzur,$0.26
user-shashi.g.s10,$0.49
user-shashi_22,$0.52
user-sharvari,$1.04
user-sharklaser,$3.64
user-shakuras,$10.92
user-sguida,$0.26
user-sethster1,$0.52
user-semyon,$3.12
user-segillab,$20.54
user-sean.davis,$4.16
user-sdoyle,$0.20
user-sde,$10.92
user-scs_13,$0.26
user-screencaster,$1.04
user-scmmsqnm,$0.52
user-scheidp,$0.26
user-sblanchard,$54.60
user-saumya,$1.35
user-sara.contente,$2.08
user-santpau2014,$1.04
user-sandeep_sanga,$11.96
user-sand60,$0.52
user-sanchak74,$0.26
user-samuel,$0.78
user-sammy111,$1.30
user-samhokin,$27.57
user-sallusti10,$0.15
user-saladkimbab.,$10.92
user-saig,$10.92
user-sachi_i,$10.92
user-rworthi,$1.04
user-rvnair,$5.96
user-russ,$1.30
user-ruben24,$0.78
user-rtaft,$9.10
user-rshelans,$1.04
user-rsanghvi1,$0.26
user-rpique,$0.78
user-rouf,$10.92
user-rosciolit1,$4.14
user-rogue,$0.75
user-rochujf,$10.92
user-robanche,$0.26
user-rnajdi,$10.92
user-rmendez,$10.92
user-rmedlinger,$249.08
user-rlatanich,$10.92
user-ritamalmeida,$7.28
user-reuter_ja,$3.12
user-remmerse,$10.92
user-rcook34,$34.67
user-rclindsleyjr,$2.34
user-razsultana,$0.26
user-raymondgao,$10.92
user-rahul_sap,$0.52
user-radiantgenomics,$0.26
user-qyuannih,$10.92
user-quoclinh2000,$0.78
user-quicksand21,$21.32
user-quandt24,$0.26
user-qiongshi,$10.92
user-qinting,$10.92
user-qiaozhiw,$1.30
user-pyang,$0.36
user-pwhite,$16.64
user-pv3,$0.26
user-pv2,$0.78
user-ptnpzr7o56bz915xus4mdmjk35,$3.64
user-psung,$23.66
user-protester,$1.30
user-project2,$0.52
user-prithviraj2015,$10.92
user-prisnirath,$2.34
user-princebajoyce,$0.52
user-prenauer,$10.92
user-preeves,$1.30
user-pravitt,$10.92
user-prash,$1.30
user-pradadiddier,$10.92
user-pollacklab,$0.78
user-pnge,$1.04
user-pjanicki,$0.26
user-pitithat,$1.30
user-pistoia,$40.30
user-pirm_prosek,$9.10
user-phydit,$1.30
user-pfujita,$10.92
user-pforayter,$4.94
user-pedromfcruz,$0.26
user-pdjackson4,$0.78
user-pditommaso,$2.86
user-pcrane,$10.92
user-pcmt00,$0.26
user-pclott,$4.68
user-pclark1,$2.08
user-paulm,$0.78
user-patterja,$11.70
user-pathak064,$1.30
user-passrafi,$0.52
user-pashtonr,$0.78
user-parliament_reviewer3,$9.10
user-parliament_reviewer2,$9.10
user-parliament_reviewer1,$9.10
user-paekin,$0.78
user-pablo.romagnoli,$3.64
user-owensp,$1.30
user-otogenetics_cn,$0.52
user-oto_hangzhou,$0.78
user-oscar,$73.58
user-osazonova,$3.12
user-oompaloompa,$0.26
user-oncodemo,$0.26
user-olsonlm,$1.82
user-oeims,$3.64
user-oddajlatarke,$8.84
user-nunsuch123,$11.18
user-nstongcelmatix,$419.64
user-noraengel,$10.92
user-nomura,$3.14
user-nmola,$2.86
user-njmadrid,$2.86
user-nishiya,$12.74
user-niranjan,$9.10
user-nik.sm,$31.33
user-niantao,$4.68
user-ngspro14,$1.82
user-ngs_moh,$0.78
user-ngopina,$1.30
user-nflores,$81.99
user-nesumi1,$10.92
user-nealkb,$0.26
user-neal,$10.92
user-nbshannon,$5.58
user-nblab13,$8.58
user-navya_d,$2.34
user-natesh,$0.52
user-nannini2,$10.92
user-nannarendtorff,$1.04
user-nancy_1990,$0.52
user-naina.t,$111.83
user-naina_demo,$0.78
user-naamagz,$0.26
user-myhope2013,$0.26
user-mygenomics,$11.79
user-mwlee,$8.06
user-mvholt,$10.92
user-musclelab,$6.50
user-muppetjones,$0.52
user-munson2015,$10.92
user-msayati,$10.92
user-msabry,$1.04
user-mpirooz1,$10.92
user-moyra_smith,$0.78
user-mortg,$1.30
user-molero2015,$1.04
user-moggces,$10.92
user-mod66,$11.18
user-mmoreno,$0.52
user-mmm,$15.08
user-mmgrabow,$0.26
user-mmccrear,$0.26
user-mlin_tcrb,$59.54
user-mlin_support,$9.10
user-mlin_simonsfdn,"$1,268.80"
user-mlin_demo,$0.52
user-mlin,$744.60
user-mkinsella_surpi,$12.18
user-mkinsella_epic,$11.65
user-mkinsella_demo,$0.92
user-mkinsella_amgen,$0.04
user-mkinsella,$121.25
user-mkasiedu,$15.86
user-mkashiwagi,$4.99
user-mjblow,$0.26
user-miron001,$11.96
user-minqing1,$0.52
user-mikesam460,$0.26
user-mikelivstone,$10.92
user-mikedemo,$12.22
user-mikeapac,$0.52
user-miguelrodriguez,$0.66
user-micky967,$0.26
user-michel,$0.52
user-michaelhe001,$0.19
user-michael_he,$0.52
user-mia,$0.52
user-mholtgrewe,$2.86
user-mguo2014,$0.52
user-mgt9,$26.52
user-mgollery,$0.26
user-mfurness,$49.66
user-mfallahi,$0.52
user-meuleman,$1.57
user-methodeba,$10.92
user-menghan,$8.06
user-melvin,$1.55
user-meldrim,$0.52
user-mehartma,$10.92
user-meekadi,$1.04
user-mebrault,$0.26
user-meandertail,$10.92
user-mccan234,$10.92
user-mbstadler,$7.80
user-mbednar,$1.30
user-mbarcella,$2.86
user-masrr,$2.60
user-marques333,$0.52
user-marinajoy,$1.56
user-marianne,$0.26
user-marcoeg,$0.26
user-manuela_v,$2.08
user-mango_pacbio123,$43.16
user-manduchi,$10.92
user-manasa123,$1.30
user-maixu,$10.92
user-mahimj,$0.26
user-maggiec,$10.92
user-macrogenbi,$13.52
user-machiela,$10.92
user-m.valecha,$0.39
user-m_pande,$10.92
user-lyoung97,$1.30
user-lynnlab,$4.68
user-lxr606,$0.52
user-lwang_19823,$6.50
user-lvjoelr,$6.24
user-luoht,$0.26
user-lschneper,$10.92
user-lreddy,$1.56
user-lqs,$2.08
user-lpryszcz,$1.82
user-lpinello82,$10.92
user-loveroom,$0.26
user-lova99,$8.84
user-louiseb,$1.82
user-lonnieroywelch,$10.92
user-lmh327,$10.92
user-ljiang,$0.26
user-liyawang,$11.18
user-liufanwen,$0.35
user-lireynol,$10.92
user-linhuang,$0.52
user-lindaseong,$12.22
user-limx54,$0.78
user-limwengkhong,$1.04
user-limor,$1.30
user-limingyang,$10.92
user-liangy,$0.52
user-lholman,$2.60
user-lh726,$10.92
user-letmeseesea2,$0.52
user-letmeseesea,$18.46
user-leshinsky,$0.26
user-leonardm,$1.04
user-leokim,$0.26
user-leipzig,$0.52
user-leepc12,$2.86
user-leemar,$3.64
user-lea_jessop,$10.92
user-ldavison27,$0.52
user-lcoutinho,$0.26
user-lav1kas2,$10.92
user-larusch,$0.26
user-laplandia,$0.52
user-lametherell,$13.78
user-lacuss,$10.92
user-lab12,$2.08
user-kys21207,$10.92
user-kvykvy,$3.12
user-kthomaspickard,$25.22
user-krawson,$0.26
user-kongl,$1.30
user-klai,$1.56
user-kkershner,$0.78
user-kkassahn,$74.36
user-kinsi,$51.74
user-kiani,$4.68
user-kh_data,$0.26
user-kevinshe,$0.52
user-kevin.mckernan,$1.82
user-keross,$10.92
user-kentsmall,$5.72
user-kennabt,$1.30
user-kenji,$2.60
user-kasojimd_30,$10.92
user-kapoormanav,$10.92
user-kangkang,$0.26
user-kajetan,$10.92
user-kaiwang,$1.82
user-jzaborowski,$1.04
user-jwhite,$6.24
user-juping,$4.42
user-junsoo.pablo,$0.52
user-julyin,$63.70
user-juhi_ojha,$10.92
user-juandelahoz,$3.64
user-jtycz_57,$0.26
user-jsolus,$0.78
user-jshouse13,$10.92
user-jshi,$1.04
user-jshanson7,$0.78
user-jsedwards,$2.60
user-jscientist,$1.82
user-jsage8,$5.46
user-jpmtavares,$7.28
user-jplummer,$10.92
user-joshuakwon,$0.52
user-joseph.lu,$0.26
user-josemariaramosmejia,$11.70
user-jonasalmeida,$2.60
user-jolie80,$0.52
user-joelu,$8.06
user-jochen.graw,$0.78
user-jncampbe,$1.82
user-jmstreet,$10.92
user-jmmarzec,$10.92
user-jmdale.encode2015,$10.92
user-jmdale,$2.34
user-jmaurizio,$8.84
user-jlu30,$8.32
user-jkurzer76,$3.12
user-jkent,$10.92
user-jiyuezhu,$10.92
user-jix1,$0.78
user-jitu028,$1.56
user-jireland,$2.86
user-jion80,$0.52
user-jinw,$0.26
user-jingquan,$0.78
user-jim_lund,$0.18
user-jill_casey,$0.26
user-jike,$0.36
user-jieliu,$0.26
user-jiaxuli,$0.22
user-jial2,$10.92
user-jhuber,$1.30
user-jhooge,$4.94
user-jhitz,$10.92
user-jhardee,$1.56
user-jgalazka,$0.16
user-jfoley,$0.52
user-jflu9421,$4.16
user-jfillon,$0.52
user-jenkins,$0.26
user-jeff,$4.16
user-jeannocheung,$1.30
user-jean2,$10.92
user-jdmerker,$3.64
user-jddemo,$1.30
user-jdale.demo,$4.42
user-jdale_scgpm,$137.28
user-jdale,$20.28
user-jd_syapse,$0.53
user-jcollins,$0.52
user-jchud,$0.52
user-jcelenza,$12.22
user-jc_wang,$1.30
user-jazon33y,$1.82
user-jasavige,$26.00
user-japuig,$0.52
user-janygu,$0.26
user-janety123,$10.92
user-jalmeida,$0.52
user-jack_a_lent,$0.26
user-ivadivel,$0.26
user-iskander,$33.28
user-ishtar1464,$0.26
user-isaksson,$1.09
user-irr4,$1.04
user-irene,$10.92
user-iras,$10.92
user-ioanniszaganas,$32.76
user-ioana,$20.28
user-inambioinfo,$1.30
user-imacq,$9.36
user-iluke_gogogo,$0.26
user-ikaros,$24.18
user-ihlee,$18.72
user-iel,$4.42
user-hyzhang,$3.12
user-hyperbatata,$1.30
user-huvhelena,$0.78
user-hurchu82,$2.08
user-huizhu,$2.34
user-hubq,$10.92
user-huangtsehui,$4.63
user-hongiiv,$0.52
user-hoguneim72,$0.78
user-hoguneim,$31.20
user-hivcd4,$10.92
user-hithesh,$2.12
user-hintzam,$6.24
user-hgouran,$0.78
user-heusermi,$1.56
user-herrerm,$1.82
user-hennekem,$1.82
user-hcr,$17.26
user-hchaib,$0.52
user-hattiechung,$0.26
user-harryzhang,$0.26
user-hari_iyer16,$10.92
user-hannb1190,$2.86
user-hanelee_80,$6.76
user-hanc,$1.30
user-halli,$9.77
user-haiderlab,$1.04
user-hadyn1966,$0.26
user-h.l.storr,$10.92
user-gwangjoong,$1.30
user-gt_jax,$2.14
user-gshieh3,$1.82
user-gpatbrady,$0.26
user-gongyh,$2.34
user-gn02082572,$0.52
user-gmartov,$1.04
user-gkong,$4.42
user-ghchristensen,$7.54
user-ggoh,$5.01
user-ggeorgol88,$10.92
user-getsnowwhite,$10.92
user-geraldinegoh,$7.52
user-georgeseed,$0.26
user-georgedevasia,$1.21
user-george.wuxi,$62.14
user-george.regeneron.demo,$0.26
user-george.regeneron,$14.56
user-george.novogene,$12.74
user-george.novartis,$1.82
user-george.macrogen,$1.82
user-george.hudsonalpha,$19.24
user-george.gis,$3.12
user-george.gilead,$1.30
user-george.genycell,$14.04
user-george.farsight,$0.52
user-george.demo,$6.76
user-george,$347.45
user-genomix4life,$1.30
user-gbsmp,$0.40
user-gbritt,$6.50
user-gatcbiotech,$1.82
user-garvandemo,$176.61
user-gaolab,$18.98
user-galindcl,$1.30
user-fulkerpc,$10.92
user-fuh,$10.92
user-ftorri,$1.04
user-frederictort,$0.52
user-fm319,$0.26
user-florinc,$0.26
user-flashpoint,$0.26
user-fiona.ford1,$1.04
user-fgbrunet,$10.92
user-fgblanch,$0.78
user-fengtao,$0.26
user-fdome,$3.12
user-fboellmann,$11.96
user-fboellma,$1.30
user-fberry,$1.04
user-fatimalopes0407,$1.30
user-fas,$1.30
user-fahdoo,$0.26
user-f_dome,$3.38
user-eworley,$3.12
user-evk3,$3.12
user-everest196,$0.52
user-evdokim,$0.52
user-evanworley,$7.80
user-etal,$1.04
user-erigracie,$10.92
user-erichshuang,$0.26
user-ericaedavis,$3.90
user-epistatic,$0.52
user-encode,$10.92
user-emyrawks,$0.26
user-eme6,$0.26
user-elpeleg,$83.17
user-elhong,$3.12
user-egoltsman,$2.34
user-edgebio,$1.04
user-ecoli3,$1.04
user-earnest,$14.56
user-eagb,$107.90
user-dzhang,$5.20
user-dzgursky,$0.01
user-dvera,$0.26
user-duke_reid,$2.08
user-dsb83,$0.52
user-dsavel,$10.92
user-drowley1,$10.92
user-drorsh,$12.22
user-drnicolson,$0.26
user-drbailey06,$0.18
user-dragandj,$2.34
user-dpollardfh,$0.26
user-dpollard,$1.30
user-dpavelec,$10.92
user-don_colgan,$1.56
user-doc.rabbit,$10.92
user-dnastackdemo,$0.26
user-dnanexusmaster,$2.60
user-dnanexushuge,$5.20
user-dnanexus_grombacher,$1.04
user-dnanexus80,$0.26
user-dnan_prod_irri,$237.12
user-dmoaxaca,$3.90
user-dmgatti,$10.92
user-dmb107,$2.08
user-dmart91,$1.56
user-dlwdlw,$10.92
user-dl_brown,$0.78
user-dipenps,$0.78
user-dimapush,$1.82
user-dillard,$1.56
user-diehlsr,$0.26
user-dianngs,$0.26
user-dhuston,$4.94
user-demotwo,$1.30
user-demoone,$1.56
user-demirkale,$10.92
user-deepak,$22.36
user-dcasero,$0.26
user-dbrokaw522,$10.92
user-davestatham,$64.74
user-dasdevshishdas,$0.78
user-danxin,$10.92
user-daniel.suez1231,$1.04
user-daniel_schorderet,$0.26
user-dan.halligan,$1.04
user-dames_support,$6.76
user-dames,$21.61
user-d.jhamb,$10.92
user-cxiong2015,$10.92
user-cwnelson88,$10.92
user-cwischmeyer,$2.52
user-cvied,$10.92
user-ctsdn,$6.50
user-ct2014_2006,$2.34
user-csr0325,$0.26
user-csmit,$9.36
user-csjansen,$10.92
user-csillanexus15,$10.92
user-cscott,$1.04
user-crgsmail,$10.92
user-crees,$10.92
user-cparman,$8.06
user-coolbubu,$0.26
user-conniewu,$10.92
user-colli.leandro,$10.92
user-codushlaine,$2.60
user-clum,$0.26
user-clinician,$0.52
user-clearylab,$1.30
user-ckozak12.,$10.92
user-chunhongliu,$10.92
user-chris.liu888,$155.74
user-chimb,$10.92
user-chhs5046,$6.21
user-chenzmbar,$0.26
user-chenqi,$10.92
user-charliew,$10.92
user-chang,$2.45
user-chai,$19.88
user-cdtiwari,$0.52
user-cdbruce,$10.92
user-ccheadl1,$10.92
user-cbreton,$10.92
user-cbormans,$1.56
user-castelja1.,$1.56
user-caseybergman,$1.97
user-carpin,$91.00
user-carola.oldfors,$13.57
user-candevrivera,$11.18
user-canace,$108.26
user-can_bruce,$2.08
user-campbelljn,$8.02
user-calatayud,$0.26
user-caizexi,$0.52
user-c.mcneill,$17.94
user-bvr2101,$0.78
user-bunthaworn,$0.26
user-buechst2,$0.78
user-btphzxc,$0.52
user-bth,$260.92
user-brvijay,$2.86
user-bowman15,$10.66
user-borum,$3.64
user-borisevichdi,$0.52
user-borgue,$10.92
user-bogomolo,$2.34
user-bofallon,$2.13
user-bmsanjuan,$1.82
user-bluewisher,$2.60
user-blu,$2.08
user-blattler,$11.18
user-bishwa2014,$27.04
user-biquan,$1.04
user-biotech83,$11.96
user-bionanogenomics,$1.04
user-biologist,$1.04
user-bioinfor.otogenetics,$702.45
user-bioinfo0421,$5.20
user-bioinf,$2.86
user-bioarray_data,$1.13
user-bioarray,$0.78
user-bio.smith,$2.60
user-bio_julia,$1.30
user-bio_inf,$252.72
user-bio620,$10.92
user-billgate,$0.26
user-bhoffman,$0.78
user-bhelling13,$10.92
user-bhatfield,$0.52
user-bhannigan_uab,$3.12
user-bhannigan_support,$5.72
user-bhannigan_qiagen,$94.64
user-bhannigan_pangu,"$1,925.18"
user-bhannigan_pacbio_demo,$10.66
user-bhannigan_pacbio,$659.10
user-bhannigan_orion,$339.21
user-bhannigan_omicia,$271.18
user-bhannigan_nestle,$19.53
user-bhannigan_mygenomics,$0.26
user-bhannigan_macrogen,$112.10
user-bhannigan_intermountain,$0.52
user-bhannigan_huntsman,$10.66
user-bhannigan_hli,$26.26
user-bhannigan_gsk,$6.33
user-bhannigan_gq,$0.26
user-bhannigan_falcon,$172.64
user-bhannigan_encode,$18.20
user-bhannigan_biogen,$7.02
user-bhannigan_bayer,$44.46
user-bhannigan_agilent,$2.50
user-bhannigan,$127.92
user-bgenin,$0.26
user-bgcuser,$2.34
user-betterok,$0.26
user-berryld1,$0.26
user-benofzongo,$5.46
user-benjschm,$10.92
user-bechilto,$1.30
user-beaver,$14.30
user-baskine,$10.92
user-barb,$0.26
user-baraky,$0.78
user-barak_yaacov,$4.94
user-bandrewfox,$1.04
user-ballif,$0.26
user-baharehh,$0.26
user-bagee,$1.56
user-awz,$1.56
user-avkitex,$0.26
user-austinso,$0.26
user-atong,$4.14
user-atocha,$0.52
user-atin1,$10.92
user-asundqui,$3.12
user-astamov,$0.26
user-ashish,$0.52
user-ashg,$23.66
user-asharm37,$10.92
user-aruzo,$3.64
user-arthurvickie,$10.92
user-arthur,$1.30
user-arm55,$0.26
user-arkarachai,$12.48
user-arielpr,$10.92
user-ariellarw,$3.90
user-argenomicsbioinf,$1.82
user-aravindhansriharan,$1.30
user-aramos,$1.04
user-aralk_ervafel,$1.30
user-aquaskyline,$1.04
user-appdevtest,$4.68
user-apimenta_rp75,$7.54
user-apham,$0.52
user-aperdomos,$0.26
user-anubhavk,$4.16
user-anubhavbt,$1.30
user-annaalkelai,$0.26
user-anishkej,$0.26
user-andyptt21,$10.92
user-andy_d,$2.34
user-andrewmagis,$5.46
user-ananta.acharya,$0.52
user-amichaelix,$1.49
user-amarsh,$0.52
user-amandakahnkirby,$4.06
user-alyami40,$249.34
user-allisondrew,$10.92
user-allisocr,$1.30
user-alexwllin,$1.04
user-alexander.li,$0.78
user-aleksandra1,$10.92
user-albertvilella,$31.07
user-al2na,$0.26
user-akmanning,$10.92
user-akislyuk2,$2.08
user-akislyuk,$150.80
user-aji2404,$3.38
user-aisharya_15,$1.04
user-aigerim,$0.26
user-ahunter,$0.22
user-ahschiemann,$0.52
user-agbt,$0.52
user-africat99,$9.36
user-aergun,$10.92
user-adiallo_suregenomics,$41.08
user-adiallo_progen,$46.15
user-adiallo_novartis,$0.78
user-adiallo_jnj,$47.37
user-adiallo_janssen,$0.26
user-adiallo_gilead,$1.82
user-adiallo_demos,$10.92
user-adiallo_demo,$11.44
user-adiallo_caredx,$4.68
user-adiallo_biomarin,$11.37
user-adiallo,$420.52
user-adalgeir,$8.58
user-ad48,$10.92
user-acarroll.demo,$169.38
user-acarroll_support,$12.48
user-acarroll_novartis,$117.00
user-acarroll_nist,$194.20
user-acarroll_nextcode,$56.74
user-acarroll_jnj,$30.94
user-acarroll_irri,$24.70
user-acarroll_genformatic,$1.82
user-acarroll_foundation,$13.26
user-acarroll_demo,$1.04
user-acarroll_chop,$22.36
user-acarroll_bustamante,$45.50
user-acarroll_ashg,$2.86
user-acarroll,"$1,397.12"
user-acaihaha,$0.52
user-abryant,$1.18
user-abra,$1.30
user-ablattler,$2.34
user-abileshmg,$3.64
user-abilesh,$3.12
user-abibioinformatics,$0.78
user-abashir,$0.26
user-aaron,$0.26
user-aaravindanarun,$0.26
user-aahonen,$1.04
user-a0117070,$7.54
org-ybhpcc,$26.78
org-wuxi_nextcode,"$1,238.30"
org-wuxi_demo,$39.52
org-welgene,$0.52
org-weissmanlab,$0.52
org-viagenetics,$897.07
org-veracyte,$566.28
org-uth_shimmin,$1.04
org-unmc_green_lab,$48.58
org-ucsf_ucb_newborn,$638.98
org-ucsf_ccgl,$610.65
org-tutegenomics,$544.12
org-theragen,$2.08
org-syntheticgenomics,$56.12
org-stanfordsleep,$51.22
org-sidowlab,$610.22
org-sequencingservicedemo,$15.60
org-scgpm,$22.71
org-sahinalplab,$15.08
org-rubicon,$631.93
org-regeneron_other,$0.26
org-regeneron_ngs_core,$39.00
org-regeneron,"$23,673.37"
org-qiagen_ing,$5.72
org-pritchardlab,$3.12
org-population_genetics,$1.31
org-pfda..stanford,$9.81
org-pfda..roche,$8.45
org-pfda..precisionfda,$3.63
org-pfda..nist,$9.57
org-pfda..natera,$0.52
org-pfda..intel,$0.75
org-pfda..fda,$1.62
org-pfda..broad,$4.41
org-pevznerlab,$0.26
org-otogenetics,$0.26
org-oconnor,$23.14
org-novartiscamb,$39.78
org-novartis,$683.63
org-nist,$112.32
org-nestle_euro,$92.50
org-nccs_wkl,$139.83
org-natera_customers,$64.09
org-natera,"$6,789.63"
org-michrom,$19.50
org-merck,$16.38
org-mardislab,$1.04
org-macrogen_korea,$2.34
org-lasergen_inc,$28.86
org-kccg_seq_clinical,$335.52
org-kccg_seq,"$4,259.90"
org-juno_therapeutics,$2.34
org-janssen_oncology,"$1,650.75"
org-janssen_immunology,$0.78
org-janssen_discoveryscience,$90.05
org-intermountain,$29.75
org-ingenuity_dev,$39.78
org-hudsonalpha_gsl,"$3,435.90"
org-hudsonalpha_b,$615.94
org-hss,$3.12
org-h3biomedicine,$3.38
org-gsk_b,$0.78
org-gis_polaris,$171.32
org-gis_cellhub,$0.26
org-gilead,$53.30
org-genycell,$222.42
org-genomichealth,$4.69
org-geisinger,$766.97
org-garvan_kccg,"$1,445.02"
org-garvan_hayes_lab,$13.00
org-garvan_epigenetics,$4.97
org-garvan_dinger_lab,$500.33
org-fibrogen,$7.63
org-farsightgen,$40.30
org-eurofins,$108.60
org-eichlerlab,$0.26
org-editas,$11.45
org-ea_quintiles_delivery,$20.32
org-dnanexus,$4.68
org-dendreon,$29.90
org-coxlab,$1.30
org-claritas,$523.34
org-cheunglab,$2.86
org-cherrylab,"$2,949.53"
org-caredx_inc,$173.99
org-bustamantelab,$186.16
org-bsw,$10.56
org-broad_viral,$23.92
org-boehringer,$3.29
org-biomatters,$1.04
org-bioinfosummer2015,$1.61
org-bdx,$28.34
org-bcmdev,"$3,893.42"
org-bcm,"$7,739.53"
org-bastianlab,$236.60
org-astrazeneca,$1.04
org-aruplab,$51.22
org-array_biopharma,$1.04
org-aros,$8.84
org-apdiagnostics,$1.30
org-agilent_gsd_rd,$22.28
